,question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_recall,context_precision,answer_correctness
10,قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟,دفاتر مذکور در ماده 6 باید قبل از آنکه در آن چیزی نوشته شده باشد، توسط نماینده اداره ثبت امضا شوند.,"['ماده 11 - دفاتر مذكور در ماده 6 به استثناءِ دفتر كپيه قبل از آنكه در آن چيزي نوشته شده باشد بتوسط نماينده اداره ثبت (\u200cكه مطابق نظامنامه \u200cوزارت عدليه معين ميشود) امضاء خواهد شد. براي دفتر كپيه امضاءِ مزبور لازم نيست ولي بايد اوراق آن داراي نمره ترتيبي باشد. در موقع تجديد \u200cساليانه هر دفتر مقررات اين'
 '\u200cماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است\u200c صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو\u200c طرف قيطان را با مهر سربي كه وزارت عدليه براي اين'
 'باب دوم \u200cدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول\n\nدفاتر تجارتي\n\nماده 6 - هر تاجري به استثناي كسبه جزء مكلف است دفاتر ذيل يا دفاتر ديگري را كه وزارت عدليه بموجب نظامنامه قائم\u200cمقام اين دفاتر قرار\u200cميدهد داشته باشد: 1) دفتر روزنامه. 2) دفتر كل. 3) دفتر دارائي. 4) دفتر كپيه.']",دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11),1.0,0.9327131272638756,1.0,0.9999999999666668,0.7255277079502322
11,چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟,دفتری که برای امضا به متصدی امضا تسلیم می‌شود باید دارای نمره ترتیبی و قیطان کشیده باشد و متصدی امضا مکلف است صفحات دفتر را شمرده و مجموع عدد صفحات آنرا با تصریح باسم و رسم صاحب دفتر نوشته با قید تاریخ امضاء و دو طرف قیطان را با مهر سربی که وزارت عدلیه برای این منظور تعیین کرده است، امضاء کند.,"['ماده 11 - دفاتر مذكور در ماده 6 به استثناءِ دفتر كپيه قبل از آنكه در آن چيزي نوشته شده باشد بتوسط نماينده اداره ثبت (\u200cكه مطابق نظامنامه \u200cوزارت عدليه معين ميشود) امضاء خواهد شد. براي دفتر كپيه امضاءِ مزبور لازم نيست ولي بايد اوراق آن داراي نمره ترتيبي باشد. در موقع تجديد \u200cساليانه هر دفتر مقررات اين'
 '\u200cماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است\u200c صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو\u200c طرف قيطان را با مهر سربي كه وزارت عدليه براي اين'
 'بايد در صورت\u200c مجلس كيفيت دفاتر را بطور خلاصه قيد كند - اوراق تجارتي هم كه وعده آنها نزديك است يا بايد قبولي آنها نوشته شود و يا\u200c نسبت بآنها بايد اقدامات تأمينيه بعمل آيد از توقيف خارج شده در صورت\u200c مجلس ذكر و بمدير تصفيه تحويل ميشود تا وجه آنرا وصول نمايد و \u200cفهرستي كه از مدير تصفيه گرفته ميشود بعضو']",دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12),1.0,0.7413543115694704,1.0,0.99999999995,0.8312740565542582
12,ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,تراشیدن، حک کردن، جای سفید گذاشتن بیش از حد معمول، و نوشتن در حاشیه یا بین سطور از ممنوعیت‌های نگهداری دفاتر است.,"['ماده 438 - انبارها و حجره\u200cها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.'
 'ماده 13 - كليه معاملات و صادرات و واردات در دفاتر مذكوره فوق بايد بترتيب تاريخ در صفحات مخصوصه نوشته شود - تراشيدن و حك\u200cكردن و همچنين جاي سفيد گذاشتن بيش از آنچه كه در دفترنويسي معمول است و در حاشيه و يا بين سطور نوشتن ممنوع است و تاجر بايد تمام آن\u200c دفاتر را از ختم هر سالي لااقل تا ده سال نگاهدارد.']",تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13),1.0,0.7807375531595868,1.0,0.49999999995,0.7458894791744686
13,دفاتر مطابق مقررات چه اعتباری دارند؟,دفاتر تجارتی مطابق مقررات باید دارای دفتر روزنامه، دفتر کل، دفتر دارایی و دفتر کپیه باشند.,"['بايد در صورت\u200c مجلس كيفيت دفاتر را بطور خلاصه قيد كند - اوراق تجارتي هم كه وعده آنها نزديك است يا بايد قبولي آنها نوشته شود و يا\u200c نسبت بآنها بايد اقدامات تأمينيه بعمل آيد از توقيف خارج شده در صورت\u200c مجلس ذكر و بمدير تصفيه تحويل ميشود تا وجه آنرا وصول نمايد و \u200cفهرستي كه از مدير تصفيه گرفته ميشود بعضو'
 'باب دوم \u200cدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول\n\nدفاتر تجارتي\n\nماده 6 - هر تاجري به استثناي كسبه جزء مكلف است دفاتر ذيل يا دفاتر ديگري را كه وزارت عدليه بموجب نظامنامه قائم\u200cمقام اين دفاتر قرار\u200cميدهد داشته باشد: 1) دفتر روزنامه. 2) دفتر كل. 3) دفتر دارائي. 4) دفتر كپيه.']",بین تجار در امور تجارتی سندیت دارند. (ماده 14),1.0,0.8893930985835983,0.0,0.0,0.220978359375064
14,تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 548 مستلزم جزای نقدی است.,['\u200cماده 548 - مخارج تعقيبي كه از طرف يكي از طلبكارها بعمل مي\u200cآيد در صورت محكوميت تاجر ورشكسته بعهده دولت و در صورت برائت \u200cذمه بعهده تعقيب\u200c كننده است.\n\nفصل دوم\n\nدر ورشكستگي به تقلب'],تخلف از ماده 6 و ماده 11. (ماده 15),0.0,0.902770478721322,1.0,0.9999999999,0.594993915749715
15,چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,کلیه اشخاصی که در نقاط بشغل تجارت اشتغال دارند اعم از ایرانی و خارجی با استثنای کسبه جزء باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند.,"['ماده 16 - در نقاطي كه وزارت عدليه مقتضي دانسته و دفتر ثبت تجارتي تأسيس كند كليه اشخاصي كه در آن نقاط بشغل تجارت اشتغال دارند اعم\u200cاز ايراني و خارجي باستثناي كسبه جزء بايد در مدت مقرر اسم خود را در دفتر ثبت تجارتي به ثبت برسانند و الا بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم خواهند شد.'
 '1 - نام شركت و شماره ثبت آن در دفتر ثبت شركتها.\n\n2 - مبلغ سرمايه ثبت شده و مقدار پرداخت شده آن.\n\n3\n\nتعيين نوع سهم.\n\n4 - مبلغ اسمي سهم و مقدار پرداخت شده آن به حروف و بااعداد.\n\n5 - تعداد سهامي كه هر ورقه نماينده آنست.'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورت\u200cحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\n\u200cتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت\u200c حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.']",کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16),0.6666666666666666,0.9679302999629952,1.0,0.9999999999666668,0.7386099684933395
16,وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,وزارت عدلیه مقررات مربوط به دفتر ثبت تجارتی را با تصریح بموضوعاتی که باید به ثبت برسد، بموجب نظامنامه معین خواهد کرد.,"['باب دوم \u200cدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول\n\nدفاتر تجارتي\n\nماده 6 - هر تاجري به استثناي كسبه جزء مكلف است دفاتر ذيل يا دفاتر ديگري را كه وزارت عدليه بموجب نظامنامه قائم\u200cمقام اين دفاتر قرار\u200cميدهد داشته باشد: 1) دفتر روزنامه. 2) دفتر كل. 3) دفتر دارائي. 4) دفتر كپيه.'
 'ماده 438 - انبارها و حجره\u200cها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.'
 'ماده 17 - مقررات مربوطه بدفتر ثبت تجارتي را وزارت عدليه با تصريح بموضوعاتي كه بايد به ثبت برسد بموجب نظامنامه معين خواهد كرد.']",مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17),1.0,0.8932346605439073,1.0,0.3333333333,0.7329014970428567
17,تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,تاجر باید کلیه مراسلات، مخابرات، صورت‌حساب‌های صادره و وارده خود را بترتیب تاریخ ثبت کند.,"['ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورت\u200cحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\n\u200cتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت\u200c حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.'
 '\u200cماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (\u200cاز قبيل خريد و\u200c فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود \u200cبرداشت ميكند در آن دفتر ثبت نمايد.'
 'ماده 438 - انبارها و حجره\u200cها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.']",تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18),1.0,0.8250110811320722,0.8,0.9999999999,0.2157276527375569
18,شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,با استفاده از علامت [] که در اینجا استفاده شده است.,[],مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19),,0.8432148614298933,1.0,0.0,0.1995965288360363
19,انواع شرکت‌های تجارتی کدامند؟,"انواع شرکت‌های تجارتی شامل:
1) شرکت سهامی
2) شرکت با مسئولیت محدود
3) شرکت تضامنی
4) شرکت مختلط غیر سهامی
5) شرکت مختلط سهامی
6) شرکت نسبی
7) شرکت تعاونی تولید و مصرف می‌باشند.","['باب سوم\n\n\u200cشركتهاي تجارتي\n\nفصل اول \u200cدر اقسام مختلفه شركت ها و قواعد راجعه بآنها\n\nماده 20 - شركتهاي تجارتي بر هفت قسم است: 1) شركت سهامي. 2) شركت با مسئوليت محدود. 3) شركت تضامني. 4) شركت مختلط غير سهامي. 5) شركت مختلط سهامي. 6) شركت نسبي. 7) شركت تعاوني توليد و مصرف.\n\nمبحث اول\n\n\u200cشركت\u200cهاي سهامي'
 'ماده 4(الحاقي 24ˏ12ˏ1347)- شركت سهامي بدو نوع تقسيم ميشود: \u200cنوع اول - شركتهائي كه مؤسسين آنها قسمتي از سرمايه شركت را از طريق فروش سهام بمردم تأمين ميكنند. اينگونه شركتها شركت سهامي عام \u200cناميده ميشوند. \u200cنوع دوم - شركتهائي كه تمام سرمايه آنها در موقع تأسيس منحصراً توسط مؤسسين تأمين گرديده است.'
 'ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\nماده 5 - كليه معاملات تجار تجارتي محسوب است مگر اينكه ثابت شود معامله مربوط بامور تجارتي نيست.\n\nباب دوم \u200cدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول\n\nدفاتر تجارتي']",شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20),1.0,0.9675450480552652,1.0,0.9999999999666668,0.9838098033689744
0,,,,,0.8872549019607843,0.7348603684792943,0.8400000000000001,0.6749999999558334,0.6063828848498887
